,,Day0,Day3,Day5,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24
E255V,10ul virus,1620000,2440000,2290000,1970000,2440000,3260000,3720000,5760000,13920000,16560000,33600000,51840000,121600000,162560000,,,,,,,
E255V,10ul virus,1690000,1830000,2250000,2980000,3180000,3860000,8240000,12880000,16320000,26800000,46800000,98560000,194560000,,,,,,,,
E255V,10ul virus,760000,780000,730000,720000,1440000,2120000,2520000,7120000,9760000,14720000,39680000,53120000,133120000,154880000,304640000,,,,,,
E255V,10ul virus,860000,700000,600000,650000,1040000,1600000,2140000,5600000,10880000,12720000,30400000,65600000,126720000,252160000,386560000,,,,,,
E255V,1ul virus,1800000,2460000,2220000,2020000,1960000,2340000,2960000,3880000,6920000,11600000,20160000,24000000,55360000,94080000,135040000,222080000,302080000,,,,
E255V,1ul virus,2570000,1930000,1720000,1880000,2780000,3820000,5600000,6680000,9160000,18240000,24160000,52480000,101120000,,,,,,,,
E255V,1ul virus,820000,780000,780000,680000,460000,1120000,1520000,3060000,5720000,13360000,23360000,33280000,86400000,122880000,226560000,422400000,,,,,
M351T,1ml virus,1860000,2380000,1640000,3400000,4040000,6840000,9520000,14720000,29600000,41440000,,,,,,,,,,,
M351T,1ml virus,2320000,1610000,1260000,1980000,2140000,4040000,5440000,5760000,9520000,16880000,29440000,54720000,75520000,103040000,134400000,238080000,,,,,
M351T,100ul virus,1870000,2390000,2240000,1840000,2500000,3300000,4500000,6000000,11520000,19440000,32960000,50240000,77400000,111680000,,,,,,,
M351T,100ul virus,1980000,2480000,2720000,5480000,7360000,15040000,24320000,43840000,63360000,90880000,224000000,331520000,,,,,,,,,
M351T,10ul virus,1690000,2630000,2220000,2020000,2400000,3720000,4920000,8560000,14000000,21360000,38720000,72320000,95560000,180480000,,,,,,,
M351T,10ul virus,2090000,2110000,2240000,2320000,3720000,4700000,6960000,9360000,14640000,30080000,47680000,120320000,286720000,,,,,,,,
M351T,1ul virus,1820000,2390000,1920000,2000000,1640000,1540000,1320000,1880000,3040000,5040000,8000000,8960000,19880000,46080000,57600000,80000000,122880000,,,,
M351T,1ul virus,1820000,1790000,1750000,1760000,2160000,2340000,4920000,6760000,8920000,25440000,39520000,85120000,142720000,,,,,,,,
F359V,1ml virus,1720000,2550000,1370000,3670000,6960000,6320000,8240000,15680000,25600000,41760000,,,,,,,,,,,
F359V,1ml virus,1530000,1900000,4430000,7440000,11120000,19360000,32160000,38880000,69760000,132480000,,,,,,,,,,,
F359V,100ul virus,1900000,2360000,2380000,2590000,3100000,3220000,4300000,6560000,11600000,13280000,28800000,48640000,64320000,85120000,,,,,,,
F359V,100ul virus,2060000,1870000,2700000,5560000,7480000,16160000,32960000,41280000,57600000,99200000,204800000,289280000,,,,,,,,,
F359V,10ul virus,1666000,2370000,1770000,1900000,2500000,3100000,4600000,7600000,13200000,21840000,45600000,69440000,126080000,181060000,,,,,,,
F359V,10ul virus,2400000,2610000,2690000,2820000,2480000,4460000,8560000,12080000,16080000,36800000,51560000,119040000,213760000,,,,,,,,
F359V,1ul virus,1700000,2350000,1500000,1440000,1520000,1520000,2160000,3660000,5500000,9200000,20320000,22320000,51840000,78080000,113280000,168960000,281600000,,,,
F359V,1ul virus,2330000,2020000,1760000,1840000,1980000,3000000,5360000,8040000,12600000,19200000,32000000,103600000,141440000,,,,,,,,
E459K,1ml virus,2260000,2700000,2480000,3290000,4680000,7280000,7200000,13600000,24800000,27520000,,,,,,,,,,,
E459K,1ml virus,1870000,2520000,3900000,6680000,11680000,15680000,26080000,39360000,65280000,119680000,,,,,,,,,,,
E459K,100ul virus,1300000,2170000,1650000,2380000,3140000,4480000,4900000,7680000,11760000,14240000,25760000,48960000,66560000,81600000,,,,,,,
E459K,100ul virus,1860000,2260000,2850000,4080000,7240000,15360000,28480000,31200000,52480000,115840000,185600000,266260000,,,,,,,,,
E459K,10ul virus,1130000,1360000,1190000,1240000,1660000,2020000,4680000,6640000,13280000,19520000,37120000,60160000,111360000,190080000,,,,,,,
E459K,10ul virus,2070000,2290000,2330000,2420000,2760000,4060000,8560000,13040000,14240000,36800000,64320000,116480000,239360000,,,,,,,,
E459K,1ul virus,1810000,2150000,2440000,1610000,1100000,1840000,2220000,2140000,2900000,3760000,11320000,14240000,21120000,45120000,62080000,98560000,153600000,,,,
E459K,1ul virus,2110000,1680000,1580000,1540000,1300000,1620000,1540000,2740000,3480000,6080000,9040000,18400000,20160000,25280000,41280000,58240000,101760000,,,,
L248V,1ml virus,820000,1300000,1890000,3700000,4400000,9920000,13320000,29440000,54720000,104960000,231680000,,,,,,,,,,
L248V,1ml virus,1300000,1610000,2160000,4100000,8800000,11280000,28960000,59520000,94720000,157440000,254720000,427520000,,,,,,,,,
L248V,100ul virus,790000,770000,860000,1320000,2440000,3440000,8560000,14800000,26240000,59840000,75520000,145920000,244480000,442880000,,,,,,,
L248V,100ul virus,1130000,1760000,1500000,2020000,2760000,3660000,7040000,12720000,29440000,56000000,94720000,155520000,234340000,407040000,,,,,,,
L248V,10ul virus,760000,1030000,650000,950000,1220000,2180000,2400000,6160000,11280000,20000000,28800000,68480000,124160000,209920000,478720000,,,,,,
L248V,10ul virus,1030000,1600000,1520000,1040000,1600000,1720000,2800000,5360000,10000000,17840000,36480000,73280000,168960000,286720000,399360000,,,,,,
Y253H,1ml virus,1000000,1540000,2170000,3580000,7760000,13120000,23120000,37440000,74240000,105600000,185600000,289280000,529920000,,,,,,,,
Y253H,1ml virus,1110000,1660000,2100000,4260000,8040000,12720000,27200000,55680000,86720000,166400000,281600000,427520000,,,,,,,,,
Y253H,100ul virus,830000,810000,950000,1810000,2680000,4720000,10880000,18400000,33920000,60160000,97280000,225280000,299520000,450560000,,,,,,,
Y253H,100ul virus,810000,1610000,1570000,1950000,2800000,3800000,8800000,15520000,34880000,48000000,102400000,145920000,293120000,424960000,,,,,,,
